"","sampleName","latitude","longitude","Pond"
"118","YMF2018_173",41.94175,-72.13758,"SH"
"119","YMF2018_174",41.917996,-72.14886,"GB"
"120","YMF2018_175",41.917944,-72.149634,"BO"
"121","YMF2018_176",41.919789,-72.160476,"WF"
"122","YMF2018_177",41.917996,-72.14886,"GB"
"123","YMF2018_178",41.917996,-72.14886,"GB"
"124","YMF2018_179",41.919789,-72.160476,"WF"
"125","YMF2018_180",41.963303,-72.151352,"DT"
"126","YMF2018_181",41.963303,-72.151352,"DT"
"127","YMF2018_182",41.927612,-72.157826,"KE"
"128","YMF2018_183",41.963303,-72.151352,"DT"
"129","YMF2018_184",41.963303,-72.151352,"DT"
"130","YMF2018_185",41.963303,-72.151352,"DT"
"131","YMF2018_186",41.917996,-72.14886,"GB"
"132","YMF2018_187",41.956904,-72.140694,"Z5"
"133","YMF2018_189",41.947416,-72.118982,"FHE"
"134","YMF2018_193",41.964253,-72.120999,"AA006"
"135","YMF2018_194",41.947416,-72.118982,"FHE"
"136","YMF2018_196",41.962336,-72.125694,"PB"
"137","YMF2018_197",41.962336,-72.125694,"PB"
"138","YMF2018_199",41.962336,-72.125694,"PB"
"139","YMF2018_200",41.962336,-72.125694,"PB"
"140","YMF2018_201",41.962336,-72.125694,"PB"
"141","YMF2018_203",41.962336,-72.125694,"PB"
"142","YMF2018_205",41.962336,-72.125694,"PB"
"143","YMF2018_206",41.962336,-72.125694,"PB"
"144","YMF2018_207",41.957757,-72.131981,"LA"
"145","YMF2018_208",41.957757,-72.131981,"LA"
"146","YMF2018_209",41.957757,-72.131981,"LA"
"147","YMF2018_210",41.957757,-72.131981,"LA"
"148","YMF2018_211",41.947416,-72.118982,"FHE"
"149","YMF2018_214",41.94195,-72.13813,"PW"
"150","YMF2018_215",41.94195,-72.13813,"PW"
"151","YMF2018_216",41.94195,-72.13813,"PW"
"152","YMF2018_217",41.94195,-72.13813,"PW"
"153","YMF2018_218",41.964253,-72.120999,"AA006"
"154","YMF2018_219",41.949156,-72.119785,"CPS"
"155","YMF2018_220",41.949156,-72.119785,"CPS"
"156","YMF2018_221",41.927612,-72.157826,"KE"
"157","YMF2018_222",41.963239,-72.130806,"E1"
"158","YMF2018_224",41.963239,-72.130806,"E1"
"159","YMF2018_225",41.927612,-72.157826,"KE"
"160","YMF2018_226",41.935897,-72.14694,"MI"
"161","YMF2018_227",41.963303,-72.151352,"DT"
"162","YMF2018_228",41.919789,-72.160476,"WF"
"163","YMF2018_229",41.919789,-72.160476,"WF"
"164","YMF2018_230",41.919789,-72.160476,"WF"
"165","YMF2018_231",41.919789,-72.160476,"WF"
"166","YMF2018_232",41.935897,-72.14694,"MI"
"167","YMF2018_236",41.964253,-72.120999,"AA006"
"168","YMF2018_237",41.956904,-72.140694,"Z5"
"169","YMF2018_238",41.919789,-72.160476,"WF"
"170","YMF2018_239",41.947416,-72.118982,"FHE"
"171","YMF2018_240",41.947416,-72.118982,"FHE"
"172","YMF2018_242",41.966787,-72.150593,"LO"
"173","YMF2018_243",41.966787,-72.150593,"LO"
"174","YMF2018_244",41.966787,-72.150593,"LO"
"175","YMF2018_246",41.959408,-72.136033,"S4"
"176","YMF2018_248",41.956752,-72.13678,"Z3"
"177","YMF2018_249",41.954935,-72.123602,"BS"
"178","YMF2018_250",41.954935,-72.123602,"BS"
"179","YMF2018_251",41.957757,-72.131981,"LA"
"180","YMF2018_252",41.957757,-72.131981,"LA"
"181","YMF2018_253",41.957757,-72.131981,"LA"
"182","YMF2018_254",41.954935,-72.123602,"BS"
"183","YMF2018_256",41.94367,-72.12873,"QU"
"184","YMF2018_257",41.94367,-72.12873,"QU"
"185","YMF2018_258",41.94442,-72.13821,"3WS"
"186","YMF2018_259",41.94442,-72.13821,"3WS"
"187","YMF2018_260",41.94442,-72.13821,"3WS"
"188","YMF2018_261",41.94442,-72.13821,"3WS"
"189","YMF2018_262",41.919789,-72.160476,"WF"
"190","YMF2018_263",41.919789,-72.160476,"WF"
"191","YMF2018_266",41.966893,-72.154498,"SD"
"192","YMF2018_267",41.963292,-72.149856,"E8"
"193","YMF2018_268",41.963292,-72.149856,"E8"
"194","YMF2018_269",41.963292,-72.149856,"E8"
"195","YMF2018_270",41.963292,-72.149856,"E8"
